      Step     Time          Energy          fmax
BFGS:    0 00:29:53     -197.975806       33.102756
BFGS:    1 00:29:57     -203.537946        5.739697
BFGS:    2 00:30:00     -204.031225        3.029259
BFGS:    3 00:30:03     -204.686490        1.552867
BFGS:    4 00:30:06     -204.923330        3.114221
BFGS:    5 00:30:09     -205.293508        4.379262
BFGS:    6 00:30:12     -205.709655        4.248196
BFGS:    7 00:30:15     -206.115073        2.768778
BFGS:    8 00:30:18     -206.485975        1.437376
BFGS:    9 00:30:21     -206.602988        1.473757
BFGS:   10 00:30:24     -206.704566        1.513437
BFGS:   11 00:30:27     -206.818284        1.169155
BFGS:   12 00:30:29     -206.868850        0.645152
BFGS:   13 00:30:32     -206.885391        0.281287
BFGS:   14 00:30:35     -206.892749        0.117961
BFGS:   15 00:30:37     -206.895067        0.119120
BFGS:   16 00:30:40     -206.896192        0.124448
BFGS:   17 00:30:43     -206.897073        0.089499
BFGS:   18 00:30:45     -206.897630        0.055897
BFGS:   19 00:30:48     -206.897855        0.023078
