      Step     Time          Energy          fmax
BFGS:    0 02:51:20     -205.271339        1.225111
BFGS:    1 02:51:23     -205.297572        1.163012
BFGS:    2 02:51:26     -205.463159        0.816226
BFGS:    3 02:51:29     -205.488296        0.622537
BFGS:    4 02:51:31     -205.548457        0.490086
BFGS:    5 02:51:34     -205.566417        0.597402
BFGS:    6 02:51:37     -205.642043        0.881955
BFGS:    7 02:51:40     -205.699247        1.273499
BFGS:    8 02:51:43     -205.775632        0.865027
BFGS:    9 02:51:45     -205.857785        0.507113
BFGS:   10 02:51:48     -205.867141        0.383846
BFGS:   11 02:51:51     -205.900394        0.458489
BFGS:   12 02:51:54     -205.985183        0.616836
BFGS:   13 02:51:57     -206.016078        0.741835
BFGS:   14 02:52:00     -206.058631        0.791627
BFGS:   15 02:52:03     -206.129905        0.691720
BFGS:   16 02:52:05     -206.196119        0.468693
BFGS:   17 02:52:08     -206.232509        0.396546
BFGS:   18 02:52:11     -206.243770        0.322298
BFGS:   19 02:52:14     -206.264072        0.588304
BFGS:   20 02:52:17     -206.296182        0.942430
BFGS:   21 02:52:20     -206.330205        1.007839
BFGS:   22 02:52:23     -206.362094        0.755936
BFGS:   23 02:52:26     -206.389579        0.375801
BFGS:   24 02:52:28     -206.406387        0.427216
BFGS:   25 02:52:31     -206.439611        0.682032
BFGS:   26 02:52:34     -206.472818        0.650264
BFGS:   27 02:52:37     -206.493449        0.485851
BFGS:   28 02:52:40     -206.505412        0.295678
BFGS:   29 02:52:43     -206.512557        0.266867
BFGS:   30 02:52:46     -206.522342        0.286092
BFGS:   31 02:52:49     -206.550393        0.304617
BFGS:   32 02:52:52     -206.559575        0.233969
BFGS:   33 02:52:55     -206.567003        0.214791
BFGS:   34 02:52:58     -206.576247        0.427713
BFGS:   35 02:53:01     -206.597430        0.765598
BFGS:   36 02:53:03     -206.633796        1.012255
BFGS:   37 02:53:06     -206.682019        0.827365
BFGS:   38 02:53:09     -206.716129        0.386464
BFGS:   39 02:53:12     -206.733943        0.349660
BFGS:   40 02:53:15     -206.752488        0.432239
BFGS:   41 02:53:18     -206.777393        0.609486
BFGS:   42 02:53:21     -206.798145        0.387250
BFGS:   43 02:53:24     -206.807555        0.154154
BFGS:   44 02:53:27     -206.811141        0.193480
BFGS:   45 02:53:29     -206.813621        0.172893
BFGS:   46 02:53:32     -206.817111        0.161265
BFGS:   47 02:53:35     -206.826480        0.132730
BFGS:   48 02:53:38     -206.829746        0.144301
BFGS:   49 02:53:41     -206.836124        0.160170
BFGS:   50 02:53:44     -206.841655        0.166421
BFGS:   51 02:53:47     -206.850505        0.220735
BFGS:   52 02:53:50     -206.860759        0.279537
BFGS:   53 02:53:52     -206.870223        0.234616
BFGS:   54 02:53:55     -206.875470        0.143253
BFGS:   55 02:53:58     -206.878324        0.130645
BFGS:   56 02:54:01     -206.881076        0.119048
BFGS:   57 02:54:04     -206.884904        0.159318
BFGS:   58 02:54:06     -206.888032        0.127952
BFGS:   59 02:54:09     -206.889528        0.063597
BFGS:   60 02:54:12     -206.890130        0.050900
BFGS:   61 02:54:15     -206.890622        0.046759
