      Step     Time          Energy          fmax
BFGS:    0 03:27:27     -203.331975        4.060516
BFGS:    1 03:27:30     -204.367763        2.707486
BFGS:    2 03:27:33     -205.222568        1.263178
BFGS:    3 03:27:36     -205.340493        1.179140
BFGS:    4 03:27:39     -205.491262        1.049886
BFGS:    5 03:27:42     -205.619157        0.914919
BFGS:    6 03:27:45     -205.704561        0.656199
BFGS:    7 03:27:48     -205.725114        0.416725
BFGS:    8 03:27:51     -205.756055        0.601359
BFGS:    9 03:27:54     -205.803855        0.590884
BFGS:   10 03:27:57     -205.850703        0.518120
BFGS:   11 03:28:00     -205.890344        0.719774
BFGS:   12 03:28:03     -205.930425        0.769533
BFGS:   13 03:28:06     -205.964992        0.579097
BFGS:   14 03:28:09     -205.982501        0.253079
BFGS:   15 03:28:12     -205.988199        0.216547
BFGS:   16 03:28:15     -205.991683        0.179683
BFGS:   17 03:28:18     -205.995010        0.170424
BFGS:   18 03:28:21     -205.997112        0.129958
BFGS:   19 03:28:24     -205.997922        0.044527
