      Step     Time          Energy          fmax
BFGS:    0 06:53:31     -197.879530       14.315185
BFGS:    1 06:53:34     -201.740490        2.561590
BFGS:    2 06:53:36     -201.902557        2.271652
BFGS:    3 06:53:39     -202.111711        2.337297
BFGS:    4 06:53:42     -202.228692        1.746243
BFGS:    5 06:53:44     -202.361938        1.625584
BFGS:    6 06:53:47     -202.658968        0.851003
BFGS:    7 06:53:49     -202.747195        0.563118
BFGS:    8 06:53:52     -202.785925        0.499164
BFGS:    9 06:53:55     -202.818823        0.608619
BFGS:   10 06:53:57     -202.858791        0.486345
BFGS:   11 06:54:00     -202.869297        0.215077
BFGS:   12 06:54:03     -202.873135        0.165513
BFGS:   13 06:54:05     -202.875967        0.150979
BFGS:   14 06:54:08     -202.878303        0.144108
BFGS:   15 06:54:11     -202.879369        0.069786
BFGS:   16 06:54:13     -202.879620        0.031437
