      Step     Time          Energy          fmax
BFGS:    0 11:46:11     -200.243250       10.076676
BFGS:    1 11:46:14     -201.628529        7.137070
BFGS:    2 11:46:16     -202.241042        1.336827
BFGS:    3 11:46:19     -202.301384        1.267662
BFGS:    4 11:46:22     -202.489134        1.079855
BFGS:    5 11:46:25     -202.608325        1.125869
BFGS:    6 11:46:27     -202.729579        0.854967
BFGS:    7 11:46:30     -202.803533        0.507090
BFGS:    8 11:46:32     -202.838240        0.415172
BFGS:    9 11:46:35     -202.851809        0.359522
BFGS:   10 11:46:38     -202.870861        0.218248
BFGS:   11 11:46:40     -202.881383        0.101497
BFGS:   12 11:46:43     -202.884068        0.083757
BFGS:   13 11:46:45     -202.884838        0.067522
BFGS:   14 11:46:48     -202.885633        0.038934
