      Step     Time          Energy          fmax
BFGS:    0 15:07:36     -194.303087       48.038627
BFGS:    1 15:07:39     -199.417734       36.084274
BFGS:    2 15:07:42     -201.761089        5.029801
BFGS:    3 15:07:44     -202.050665        3.209094
BFGS:    4 15:07:47     -202.269807        3.341500
BFGS:    5 15:07:50     -202.355232        2.933439
BFGS:    6 15:07:53     -202.639265        1.026790
BFGS:    7 15:07:55     -202.676509        1.002804
BFGS:    8 15:07:58     -202.784210        0.525717
BFGS:    9 15:08:01     -202.809788        0.366868
BFGS:   10 15:08:04     -202.814832        0.397815
BFGS:   11 15:08:06     -202.816702        0.366601
BFGS:   12 15:08:09     -202.817860        0.193677
BFGS:   13 15:08:12     -202.818412        0.063016
BFGS:   14 15:08:15     -202.818772        0.093363
BFGS:   15 15:08:18     -202.818968        0.123951
BFGS:   16 15:08:20     -202.819124        0.102553
BFGS:   17 15:08:23     -202.819284        0.050802
BFGS:   18 15:08:26     -202.819403        0.008578
