      Step     Time          Energy          fmax
BFGS:    0 20:37:19     -202.696093        5.009039
BFGS:    1 20:37:22     -202.615416        4.896496
BFGS:    2 20:37:25     -202.833135        1.470897
BFGS:    3 20:37:27     -202.859406        0.843862
BFGS:    4 20:37:30     -202.871608        0.518724
BFGS:    5 20:37:33     -202.891027        0.167110
BFGS:    6 20:37:35     -202.894881        0.155473
BFGS:    7 20:37:38     -202.897973        0.143523
BFGS:    8 20:37:41     -202.901345        0.143582
BFGS:    9 20:37:44     -202.905932        0.143553
BFGS:   10 20:37:46     -202.908246        0.137336
BFGS:   11 20:37:49     -202.910032        0.135901
BFGS:   12 20:37:52     -202.911483        0.099931
BFGS:   13 20:37:54     -202.912297        0.051244
BFGS:   14 20:37:57     -202.912679        0.033669
