      Step     Time          Energy          fmax
BFGS:    0 02:41:26      -78.411382      481.000910
BFGS:    1 02:41:29     -179.618501      106.528023
BFGS:    2 02:41:32     -184.575921       90.041657
BFGS:    3 02:41:35     -191.786660       70.130981
BFGS:    4 02:41:37     -198.071044       44.025588
BFGS:    5 02:41:40     -203.541430       19.523241
BFGS:    6 02:41:43     -205.381034       10.465454
BFGS:    7 02:41:46     -206.280522        6.580046
BFGS:    8 02:41:49     -207.249290        3.106742
BFGS:    9 02:41:51     -207.873461        1.523094
BFGS:   10 02:41:54     -208.316655        1.277890
BFGS:   11 02:41:57     -208.641172        0.939669
BFGS:   12 02:41:59     -208.875749        1.038666
BFGS:   13 02:42:02     -209.040219        0.963868
BFGS:   14 02:42:05     -209.148625        0.797838
BFGS:   15 02:42:07     -209.215544        0.555072
BFGS:   16 02:42:10     -209.250051        0.546019
BFGS:   17 02:42:12     -209.263117        0.621755
BFGS:   18 02:42:15     -209.276245        0.678649
BFGS:   19 02:42:17     -209.288711        0.698035
BFGS:   20 02:42:20     -209.298246        0.667156
BFGS:   21 02:42:23     -209.303315        0.604129
BFGS:   22 02:42:25     -209.306306        0.543470
BFGS:   23 02:42:28     -209.310998        0.449213
BFGS:   24 02:42:30     -209.319039        0.297602
BFGS:   25 02:42:33     -209.329575        0.372545
BFGS:   26 02:42:35     -209.339261        0.533593
BFGS:   27 02:42:38     -209.344539        0.419683
BFGS:   28 02:42:40     -209.350309        0.143826
BFGS:   29 02:42:43     -209.355891        0.278603
BFGS:   30 02:42:45     -209.361275        0.485495
BFGS:   31 02:42:48     -209.364131        0.403729
BFGS:   32 02:42:50     -209.364967        0.170992
BFGS:   33 02:42:53     -209.365114        0.032775
