      Step     Time          Energy          fmax
BFGS:    0 13:35:42     -205.282550        5.188685
BFGS:    1 13:35:44     -206.169257        5.748146
BFGS:    2 13:35:47     -206.623330       15.899901
BFGS:    3 13:35:50     -206.912757        5.843481
BFGS:    4 13:35:52     -207.332292        2.984163
BFGS:    5 13:35:55     -207.421077        1.024708
BFGS:    6 13:35:58     -207.524435        2.331517
BFGS:    7 13:36:00     -207.811578        4.128768
BFGS:    8 13:36:03     -208.125182        3.826897
BFGS:    9 13:36:06     -208.367469        2.231965
BFGS:   10 13:36:09     -208.539279        1.046978
BFGS:   11 13:36:11     -208.685389        1.268882
BFGS:   12 13:36:14     -208.840532        2.368108
BFGS:   13 13:36:16     -209.003971        2.831526
BFGS:   14 13:36:19     -209.143764        2.349360
BFGS:   15 13:36:22     -209.214476        1.053234
BFGS:   16 13:36:24     -209.246622        0.461721
BFGS:   17 13:36:27     -209.278866        1.041070
BFGS:   18 13:36:29     -209.313404        1.286657
BFGS:   19 13:36:32     -209.333593        0.690795
BFGS:   20 13:36:34     -209.341587        0.389994
BFGS:   21 13:36:37     -209.346956        0.276523
BFGS:   22 13:36:39     -209.350695        0.374045
BFGS:   23 13:36:42     -209.353030        0.269984
BFGS:   24 13:36:44     -209.354465        0.165385
BFGS:   25 13:36:47     -209.355485        0.115475
BFGS:   26 13:36:49     -209.356518        0.141625
BFGS:   27 13:36:52     -209.357347        0.104508
BFGS:   28 13:36:54     -209.357901        0.066315
BFGS:   29 13:36:57     -209.358418        0.070227
BFGS:   30 13:36:59     -209.359222        0.118145
BFGS:   31 13:37:02     -209.360537        0.141473
BFGS:   32 13:37:04     -209.362621        0.104274
BFGS:   33 13:37:07     -209.364198        0.058962
BFGS:   34 13:37:09     -209.365001        0.060380
BFGS:   35 13:37:12     -209.365439        0.061027
BFGS:   36 13:37:14     -209.365917        0.057866
BFGS:   37 13:37:17     -209.366703        0.047049
