      Step     Time          Energy          fmax
BFGS:    0 07:54:56     -201.049384        9.609095
BFGS:    1 07:54:59     -203.932115       12.489006
BFGS:    2 07:55:02     -203.970782       26.918831
BFGS:    3 07:55:04     -205.203593        5.619072
BFGS:    4 07:55:07     -205.701846        4.013340
BFGS:    5 07:55:10     -205.872323        2.129429
BFGS:    6 07:55:13     -206.126870        4.049144
BFGS:    7 07:55:16     -206.355847        3.533098
BFGS:    8 07:55:18     -206.908240        2.209259
BFGS:    9 07:55:21     -207.297615        1.674610
BFGS:   10 07:55:24     -207.605716        1.590900
BFGS:   11 07:55:27     -207.881232        1.514198
BFGS:   12 07:55:29     -208.136802        1.696746
BFGS:   13 07:55:32     -208.377269        1.589650
BFGS:   14 07:55:35     -208.618179        1.251332
BFGS:   15 07:55:37     -208.868776        0.897207
BFGS:   16 07:55:40     -209.023161        0.926444
BFGS:   17 07:55:43     -209.092512        0.716315
BFGS:   18 07:55:45     -209.164248        0.475346
BFGS:   19 07:55:48     -209.244422        0.488179
BFGS:   20 07:55:50     -209.305369        0.415074
BFGS:   21 07:55:53     -209.342935        0.241868
BFGS:   22 07:55:55     -209.357395        0.123860
BFGS:   23 07:55:58     -209.362487        0.115018
BFGS:   24 07:56:01     -209.364365        0.092755
BFGS:   25 07:56:03     -209.365555        0.069714
BFGS:   26 07:56:06     -209.366998        0.053730
BFGS:   27 07:56:08     -209.367926        0.040727
