      Step     Time          Energy          fmax
BFGS:    0 09:09:38     -205.443151        3.950893
BFGS:    1 09:09:41     -205.994315        6.311139
BFGS:    2 09:09:44     -206.627854       13.282823
BFGS:    3 09:09:46     -207.137581        3.501567
BFGS:    4 09:09:49     -207.262122        2.005475
BFGS:    5 09:09:52     -207.380732        1.847947
BFGS:    6 09:09:55     -207.574005        2.599331
BFGS:    7 09:09:57     -207.945775        3.940396
BFGS:    8 09:10:00     -208.247626        3.061173
BFGS:    9 09:10:03     -208.484746        1.362851
BFGS:   10 09:10:05     -208.682492        1.045305
BFGS:   11 09:10:08     -208.843319        1.375164
BFGS:   12 09:10:11     -208.979750        1.838934
BFGS:   13 09:10:13     -209.097343        1.862604
BFGS:   14 09:10:16     -209.192013        1.571777
BFGS:   15 09:10:18     -209.260874        1.052185
BFGS:   16 09:10:21     -209.304338        0.418591
BFGS:   17 09:10:23     -209.326627        0.312239
BFGS:   18 09:10:26     -209.336909        0.358201
BFGS:   19 09:10:28     -209.349465        0.391862
BFGS:   20 09:10:31     -209.357214        0.215573
BFGS:   21 09:10:33     -209.364413        0.088224
BFGS:   22 09:10:36     -209.365583        0.082934
BFGS:   23 09:10:39     -209.366341        0.037261
