      Step     Time          Energy          fmax
BFGS:    0 01:17:09     -205.857756        0.764609
BFGS:    1 01:17:12     -205.891240        0.562265
BFGS:    2 01:17:15     -205.950257        0.667061
BFGS:    3 01:17:18     -205.984969        0.755341
BFGS:    4 01:17:20     -206.020703        0.545732
BFGS:    5 01:17:23     -206.037837        0.371124
BFGS:    6 01:17:26     -206.053088        0.534453
BFGS:    7 01:17:29     -206.080519        0.868565
BFGS:    8 01:17:31     -206.134366        1.179298
BFGS:    9 01:17:34     -206.211232        1.159991
BFGS:   10 01:17:37     -206.274350        0.723364
BFGS:   11 01:17:40     -206.311768        0.434996
BFGS:   12 01:17:43     -206.341220        0.517647
BFGS:   13 01:17:46     -206.371014        0.649130
BFGS:   14 01:17:48     -206.396975        0.492293
BFGS:   15 01:17:51     -206.410655        0.196648
BFGS:   16 01:17:54     -206.414435        0.122757
BFGS:   17 01:17:56     -206.417342        0.172544
BFGS:   18 01:17:59     -206.421355        0.183940
BFGS:   19 01:18:02     -206.423836        0.116587
BFGS:   20 01:18:04     -206.424777        0.064747
BFGS:   21 01:18:07     -206.425141        0.039632
