      Step     Time          Energy          fmax
BFGS:    0 02:05:54     -194.558335       15.219055
BFGS:    1 02:05:57     -201.911210        5.007388
BFGS:    2 02:06:00     -203.103587        2.158268
BFGS:    3 02:06:03     -203.557538        1.551725
BFGS:    4 02:06:06     -203.798390        1.434568
BFGS:    5 02:06:09     -204.248177        1.666104
BFGS:    6 02:06:12     -204.774995        1.663954
BFGS:    7 02:06:15     -205.204665        1.410593
BFGS:    8 02:06:18     -205.529324        1.102437
BFGS:    9 02:06:21     -205.767592        0.859267
BFGS:   10 02:06:24     -205.945971        0.917399
BFGS:   11 02:06:27     -206.081073        0.849162
BFGS:   12 02:06:30     -206.169406        0.695631
BFGS:   13 02:06:33     -206.229920        0.539663
BFGS:   14 02:06:36     -206.293509        0.518461
BFGS:   15 02:06:38     -206.329169        0.494161
BFGS:   16 02:06:41     -206.358031        0.226708
BFGS:   17 02:06:44     -206.372077        0.153045
BFGS:   18 02:06:47     -206.383179        0.225283
BFGS:   19 02:06:50     -206.397401        0.252003
BFGS:   20 02:06:52     -206.404494        0.133837
BFGS:   21 02:06:55     -206.407799        0.139015
BFGS:   22 02:06:58     -206.411772        0.144048
BFGS:   23 02:07:00     -206.417008        0.208983
BFGS:   24 02:07:03     -206.422024        0.197274
BFGS:   25 02:07:06     -206.424504        0.101117
BFGS:   26 02:07:09     -206.425410        0.087139
BFGS:   27 02:07:11     -206.426203        0.121295
BFGS:   28 02:07:14     -206.427289        0.121903
BFGS:   29 02:07:17     -206.428340        0.083265
BFGS:   30 02:07:20     -206.429122        0.039982
