      Step     Time          Energy          fmax
BFGS:    0 03:36:30     -191.604722       50.700481
BFGS:    1 03:36:33     -200.895785       13.015645
BFGS:    2 03:36:36     -202.375766        6.611574
BFGS:    3 03:36:39     -203.573401        1.891872
BFGS:    4 03:36:42     -203.961756        2.573180
BFGS:    5 03:36:45     -204.381072        4.180816
BFGS:    6 03:36:48     -204.945569        4.679355
BFGS:    7 03:36:51     -205.454646        4.199622
BFGS:    8 03:36:54     -205.908534        3.425894
BFGS:    9 03:36:57     -206.301499        2.601505
BFGS:   10 03:36:59     -206.629494        1.755539
BFGS:   11 03:37:02     -206.865729        0.904647
BFGS:   12 03:37:05     -206.915576        0.733956
BFGS:   13 03:37:08     -206.946467        0.583776
BFGS:   14 03:37:11     -206.973058        0.431052
BFGS:   15 03:37:13     -206.982163        0.252310
BFGS:   16 03:37:16     -206.986197        0.174128
BFGS:   17 03:37:19     -206.990092        0.171382
BFGS:   18 03:37:22     -206.992987        0.121624
BFGS:   19 03:37:25     -206.994033        0.043605
