      Step     Time          Energy          fmax
BFGS:    0 14:04:23     -198.141242        8.831713
BFGS:    1 14:04:26     -201.878558        3.476605
BFGS:    2 14:04:29     -203.021857        1.763161
BFGS:    3 14:04:32     -203.451537        1.596869
BFGS:    4 14:04:35     -203.740742        1.413188
BFGS:    5 14:04:38     -204.080722        1.627150
BFGS:    6 14:04:40     -204.401746        1.882765
BFGS:    7 14:04:43     -204.831347        1.897360
BFGS:    8 14:04:46     -205.302794        1.613774
BFGS:    9 14:04:49     -205.707934        1.088244
BFGS:   10 14:04:52     -205.990819        0.731472
BFGS:   11 14:04:54     -206.158206        0.561679
BFGS:   12 14:04:57     -206.235390        0.560427
BFGS:   13 14:05:00     -206.267115        0.518982
BFGS:   14 14:05:03     -206.333401        0.361040
BFGS:   15 14:05:06     -206.362384        0.367432
BFGS:   16 14:05:08     -206.380692        0.291440
BFGS:   17 14:05:11     -206.392678        0.185190
BFGS:   18 14:05:14     -206.400117        0.158541
BFGS:   19 14:05:17     -206.406375        0.217096
BFGS:   20 14:05:19     -206.413010        0.210306
BFGS:   21 14:05:22     -206.417260        0.132017
BFGS:   22 14:05:25     -206.419007        0.075007
BFGS:   23 14:05:27     -206.419997        0.097932
BFGS:   24 14:05:30     -206.421271        0.109552
BFGS:   25 14:05:33     -206.422948        0.071429
BFGS:   26 14:05:35     -206.424182        0.044724
