      Step     Time          Energy          fmax
BFGS:    0 12:12:28     -194.370862        1.931381
BFGS:    1 12:12:31     -194.485658        1.092476
BFGS:    2 12:12:33     -194.602697        0.960925
BFGS:    3 12:12:36     -194.642536        0.691611
BFGS:    4 12:12:38     -194.652156        0.228914
BFGS:    5 12:12:41     -194.653297        0.116587
BFGS:    6 12:12:44     -194.654989        0.268029
BFGS:    7 12:12:46     -194.657684        0.382818
BFGS:    8 12:12:49     -194.660697        0.346779
BFGS:    9 12:12:51     -194.662641        0.183635
BFGS:   10 12:12:54     -194.663951        0.122970
BFGS:   11 12:12:57     -194.665914        0.268549
BFGS:   12 12:12:59     -194.669418        0.414104
BFGS:   13 12:13:02     -194.674617        0.474067
BFGS:   14 12:13:04     -194.679664        0.338164
BFGS:   15 12:13:07     -194.682901        0.160525
BFGS:   16 12:13:10     -194.684835        0.156523
BFGS:   17 12:13:12     -194.686838        0.264275
BFGS:   18 12:13:15     -194.689073        0.244869
BFGS:   19 12:13:17     -194.690204        0.109590
BFGS:   20 12:13:20     -194.690446        0.017919
