      Step     Time          Energy          fmax
BFGS:    0 16:00:31     -194.536333        0.344952
BFGS:    1 16:00:33     -194.537971        0.204844
BFGS:    2 16:00:36     -194.541126        0.379645
BFGS:    3 16:00:38     -194.549531        0.622194
BFGS:    4 16:00:41     -194.556701        0.610118
BFGS:    5 16:00:43     -194.564161        0.381675
BFGS:    6 16:00:46     -194.573375        0.361476
BFGS:    7 16:00:49     -194.587444        0.803452
BFGS:    8 16:00:51     -194.607040        1.072660
BFGS:    9 16:00:54     -194.628290        0.828434
BFGS:   10 16:00:56     -194.644340        0.288544
BFGS:   11 16:00:59     -194.651327        0.277234
BFGS:   12 16:01:01     -194.664730        0.584122
BFGS:   13 16:01:04     -194.676589        0.699367
BFGS:   14 16:01:06     -194.686082        0.514644
BFGS:   15 16:01:09     -194.689775        0.174447
BFGS:   16 16:01:11     -194.690256        0.011184
