      Step     Time          Energy          fmax
BFGS:    0 18:11:55     -194.364109        0.805533
BFGS:    1 18:11:58     -194.371992        0.348309
BFGS:    2 18:12:01     -194.375392        0.313885
BFGS:    3 18:12:03     -194.387632        0.273069
BFGS:    4 18:12:06     -194.388582        0.146275
BFGS:    5 18:12:08     -194.389457        0.168167
BFGS:    6 18:12:11     -194.391180        0.309331
BFGS:    7 18:12:14     -194.395242        0.488636
BFGS:    8 18:12:16     -194.402233        0.573818
BFGS:    9 18:12:19     -194.409811        0.397128
BFGS:   10 18:12:21     -194.412858        0.121710
BFGS:   11 18:12:24     -194.413669        0.067169
BFGS:   12 18:12:27     -194.414258        0.089854
BFGS:   13 18:12:29     -194.414609        0.092023
BFGS:   14 18:12:32     -194.414812        0.048069
