      Step     Time          Energy          fmax
FIRE:    0 16:20:54     -150.416049       23.227096
FIRE:    1 16:21:06     -154.122447       16.340617
FIRE:    2 16:21:17     -156.663111       11.308700
FIRE:    3 16:21:33     -158.362624        7.832452
FIRE:    4 16:21:47     -159.470124        5.374191
FIRE:    5 16:21:59     -160.150846        3.734115
FIRE:    6 16:22:11     -160.524763        2.504542
FIRE:    7 16:22:22     -160.685203        1.886633
FIRE:    8 16:22:34     -160.710604        2.040269
FIRE:    9 16:22:45     -160.664474        2.368178
FIRE:   10 16:22:56     -160.742799        2.234064
FIRE:   11 16:23:10     -160.881678        1.967956
FIRE:   12 16:23:22     -161.048350        1.585823
FIRE:   13 16:23:34     -161.202079        1.160339
FIRE:   14 16:23:46     -161.308403        0.907239
FIRE:   15 16:23:57     -161.360203        1.037753
FIRE:   16 16:24:08     -161.385645        1.194335
FIRE:   17 16:24:19     -161.415680        1.123493
FIRE:   18 16:24:31     -161.444996        0.727567
FIRE:   19 16:24:42     -161.447666        0.695427
FIRE:   20 16:24:53     -161.452543        0.633456
FIRE:   21 16:25:04     -161.458814        0.546323
FIRE:   22 16:25:15     -161.465446        0.441228
FIRE:   23 16:25:26     -161.471268        0.327614
FIRE:   24 16:25:42     -161.475669        0.222891
FIRE:   25 16:25:57     -161.478234        0.163479
FIRE:   26 16:26:12     -161.479083        0.186912
FIRE:   27 16:26:23     -161.478612        0.250851
FIRE:   28 16:26:34     -161.478732        0.247531
FIRE:   29 16:26:45     -161.478962        0.240978
FIRE:   30 16:26:57     -161.479292        0.231314
FIRE:   31 16:27:08     -161.479705        0.218974
FIRE:   32 16:27:20     -161.480180        0.204000
FIRE:   33 16:27:31     -161.480695        0.186672
FIRE:   34 16:27:44     -161.481224        0.167434
FIRE:   35 16:27:55     -161.481787        0.144650
FIRE:   36 16:28:06     -161.482307        0.118838
FIRE:   37 16:28:17     -161.482677        0.092412
FIRE:   38 16:28:29     -161.482851        0.073024
FIRE:   39 16:28:40     -161.482970        0.071280
FIRE:   40 16:28:51     -161.483018        0.085649
FIRE:   41 16:29:02     -161.483058        0.101857
FIRE:   42 16:29:13     -161.483058        0.100500
FIRE:   43 16:29:24     -161.483061        0.097737
FIRE:   44 16:29:39     -161.483066        0.093708
FIRE:   45 16:29:51     -161.483068        0.088497
FIRE:   46 16:30:02     -161.483078        0.082089
FIRE:   47 16:30:13     -161.483083        0.074771
FIRE:   48 16:30:24     -161.483087        0.066617
FIRE:   49 16:30:38     -161.483094        0.056996
FIRE:   50 16:30:50     -161.483104        0.046133
